,Advert_No,Price,Room_Count,Meter_Square,Build_Age,Town,Neighbourhood
1254,5115-3544,                13000000                 ,6,470,11,Meram,Yaka
1255,111292-61,                1750000                 ,4,170,0,Karatay,Hacıyusufmescit
1256,62802-1220,                1900000                 ,4,170,0,Selçuklu,Kosova
1257,92343-678,                2650000                 ,4,170,0,Ereğli,Yıldızlı
1258,97796-492,                2450000                 ,5,210,8,Meram,Melikşah
1259,112532-382,                1680000                 ,4,150,10,Selçuklu,Akşemsettin
1260,0-40374469,                1575000                 ,5,185,0,Selçuklu,Sancak
1261,78862-30,                1535000                 ,4,160,6,Karatay,Hamzaoğlu
1262,121431-837,                1290000                 ,3,140,21,Selçuklu,Dumlupınar
1263,125652-432,                1600000                 ,3,125,0,Selçuklu,Buhara
1264,127826-289,                3980000                 ,5,198,2,Selçuklu,SelahaddinEyyubi
1265,66538-1244,                8600000                 ,5,276,0,Meram,Karahüyük
1266,112660-611,                1380000                 ,4,150,6,Ereğli,Cahı
1267,99983-560,                1750000                 ,4,165,0,Karatay,Kumköprü
1268,122575-150,                1650000                 ,4,150,3,Selçuklu,SelahaddinEyyubi
1269,120656-377,                1375000                 ,6,260,4,Karatay,Karaaslandede
1270,134423-288,                1350000                 ,3,100,20,Karatay,Karaaslandede
1271,130520-441,                850000                 ,4,160,0,Meram,Uluırmak
1272,88418-63,                1200000                 ,3,120,6,Karatay,Erenler
1273,129467-172,                1525000                 ,4,150,0,Karatay,Selimsultan
1274,133554-25,                1430000                 ,4,150,0,Karatay,Ulubatlıhasan
1275,128842-346,                1250000                 ,4,140,15,Selçuklu,BosnaHersek
1276,120987-195,                2350000                 ,4,165,0,Selçuklu,SilleAk
1277,80269-740,                6000000                 ,4,155,0,Meram,Kozağaç
1278,89044-181,                1300000                 ,4,150,5,Ereğli,Cahı
1279,133494-36,                1325000                 ,4,145,6,Ereğli,Yunuslu
1280,57579-146,                690000                 ,4,130,20,Meram,Konevi
1281,125683-796,                1220000                 ,3,110,12,Selçuklu,Beyhekim
1282,57166-391,                1500000                 ,4,150,15,Akşehir,Kileci
1283,121745-464,                2700000                 ,14,250,20,Selçuklu,Dumlupınar
1284,121639-112,                1250000                 ,4,150,22,Ereğli,Orhangazi
1285,73671-1125,                1734000                 ,4,127,0,Selçuklu,Kosova
1286,74398-447,                1450000                 ,4,175,15,Ereğli,Eti
1287,129076-68,                1550000                 ,4,150,0,Karatay,Karakulak
1288,128032-275,                2000000                 ,4,160,0,Karatay,BüyükSinan
1289,123376-360,                1100000                 ,4,150,28,Ereğli,Selçuklu
1290,136304-8,                725000                 ,4,150,30,Kulu,Alparslan
1291,65192-230,                1280000                 ,3,140,7,Karatay,HacıHasan
1292,136487-15,                2050000                 ,5,245,7,Karatay,Gaziosmanpaşa
1293,128972-394,                3975000                 ,5,230,5,Selçuklu,Selçuk
1294,135948-14,                1400000                 ,4,140,20,Meram,Aşkan
1295,136176-13,                2200000                 ,4,160,0,Selçuklu,MehmetAkif
1296,136295-7,                1250000                 ,4,160,5,Karatay,Orhangazi
1297,134792-51,                1800000                 ,4,145,0,Meram,Uluırmak
1298,124132-213,                2100000                 ,4,150,0,Selçuklu,Parsana
1299,132088-70,                1775000                 ,4,190,5,Karatay,Fevziçakmak
1300,133438-55,                950000                 ,4,120,15,Selçuklu,BosnaHersek
1301,131193-89,                1250000                 ,4,165,16,Selçuklu,Sakarya
1302,121689-26,                1750000                 ,4,160,0,Selçuklu,SelahaddinEyyubi
1303,134317-21,                8500000                 ,7,250,0,Meram,Harmancık
1304,56827-288,                3100000                 ,5,220,13,Selçuklu,Akşemsettin
1305,92949-721,                7000000                 ,5,400,0,Meram,Lalebahçe
1306,89011-44,                1850000                 ,4,170,3,Selçuklu,SelahaddinEyyubi
